question,market_id,condition_id,market_slug,event_slug,market_url,token_id,complement_token_id,outcome,complement_outcome,end_date_utc,event_start_time_utc,uma_resolution_status,order_price_min_tick_size,neg_risk,fee_type,fees_enabled,volume_24h_usd,pot_usd_per_day,pot_rank,yield_rank,expected_gross_at_min_size,rewards_min_size_shares,rewards_max_spread_cents,mid_price,best_bid,best_ask,quote_bid_price,quote_ask_price,quote_distance,quote_distance_fraction,competitor_score_bid,competitor_score_ask,our_score_per_side,share_model,share_model_legacy,band_eligible,estimated_reward_share,gross_reward_usd_per_day,history_points,pickoff_events_per_day,adverse_usd_per_day_1min_24h,adverse_usd_per_day_10min_7d,adverse_usd_per_day_markout,band_crossing_prints_per_day,markout_measured,adverse_selection_usd_per_day,supplementary_rebate_usd_per_day,supplementary_holding_usd_per_day,supplementary_income_usd_per_day,resolution_risk,resolution_risk_class,resolution_risk_reason,resolution_risk_sample_markets,resolution_risk_clean_share,net_carry_usd_per_day,capital_usd,estimate_quality,book_history_hours,book_snapshot_count
Israel x Iran ceasefire continues through December 31?,3399468,0x1c4c6a698f0591ddf0c96e1beb56f8c75112ef849331bf3b0388f14830a7421d,israel-x-iran-ceasefire-continues-through-december-31,israel-x-iran-ceasefire-continues-throughptptpt-20260716224448963,https://polymarket.com/event/israel-x-iran-ceasefire-continues-throughptptpt-20260716224448963,34732988886981510167874389845708832808627284379840131351229635795767825787404,63915287271940688064870172991436489775587541335457370355314489349033951709373,Yes,No,2026-12-31,,,0.01,False,,False,14872.58,100.0,40,30,0.5644,200.0,4.5,0.665,0.66,0.67,0.64,0.69,0.0225,0.5,6045.8,19820.5,16.7,published_v2,0.01627,True,0.00252,0.2516,1439,0.0,0.0,0.0,0.0,1.18,True,0.0,0.0,0.029151,0.029151,high,subjective_ceasefire,subjective/dispute-prone wording contains 'ceasefire',0,,0.2516,266.0,book_and_history,216.1803,531
"Will OpenAI not IPO by December 31, 2026?",608368,0x3849e1d62e0807801913d3e2427e8caf3cc6dd1c8ef42d8d5c08c6f9c449dc5e,will-openai-not-ipo-by-december-31-2026,openai-ipo-closing-market-cap,https://polymarket.com/event/openai-ipo-closing-market-cap,56615676606297588259337956203332341775475048285080710344367729433788967812170,8070607953656787024050950499598687532281829563384949938603247089607814583142,Yes,No,2027-01-01,,,0.01,True,finance_prices_fees,True,7382.49,88.0,44,31,0.5113,100.0,4.5,0.785,0.78,0.79,0.76,0.81,0.0225,0.5,16223.6,10161.0,25.0,published_v2,0.0049,True,0.00245,0.216,1439,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.017205,0.017205,medium,other,no pre-registered low/high resolution-risk keyword class matched,0,,0.216,157.0,book_and_history,0.0,0
Israel x Iran ceasefire continues through August 31?,2952493,0xc1556ecbe613e403dfb9e38bf1b25a8aee2aa1687f2b343bc896dd2c9763ed74,israel-x-iran-ceasefire-continues-through-august-31-20260716224448970-754-896-823,israel-x-iran-ceasefire-continues-throughptptpt-20260716224448963,https://polymarket.com/event/israel-x-iran-ceasefire-continues-throughptptpt-20260716224448963,10451124928493844849355057703558222404087423201197729105477623039880661055484,89213299320340519312609800070963866900731006421290655419739582074858285792863,Yes,No,2026-08-31,,,0.01,False,,False,69288.63,200.0,13,32,0.5109,200.0,2.5,0.955,0.95,0.96,0.93,0.98,0.0188,0.75,43924.2,50591.3,12.5,published_v2,0.00057,False,0.00028,0.0569,1439,0.0,0.0,0.1787,0.0,0.0,True,0.1787,0.0,0.041863,0.041863,high,subjective_ceasefire,subjective/dispute-prone wording contains 'ceasefire',0,,-0.1218,382.0,band_ineligible,336.4964,959
US ceasefire against Iran continues through August 31?,3700194,0x137cf69002f2f24c6cbc7572321db1f6fd995f53d2457fda7e52f7fd82446794,us-x-iran-ceasefire-continues-through-august-31,us-ceasefire-against-iran-continues-throughptptpt,https://polymarket.com/event/us-ceasefire-against-iran-continues-throughptptpt,36883966188402112469990905672991660623877201475532264419725150949897779581736,68482738527773943926731429629853771932990268083771639090803941610285052030807,Yes,No,2026-08-31,,,0.01,False,,False,185496.05,1000.0,1,33,0.5077,200.0,4.5,0.865,0.86,0.87,0.83,0.9,0.0338,0.75,22367.4,221400.1,4.2,published_v2,0.00112,True,6e-05,0.0565,1438,0.0,0.0,18.9105,0.0,0.0,True,18.9105,0.0,0.037918,0.037918,high,subjective_ceasefire,subjective/dispute-prone wording contains 'ceasefire',0,,-18.854,346.0,book_and_history,23.4117,78
"US announces end of Iranian blockade by September 14, 2026?",3702042,0xcd9079a837d72a0eafde1dc692c819940bd030a295ddc67f27590e98df33878c,us-announces-end-of-iranian-blockade-by-september-14-2026,us-announces-end-of-iranian-blockade-byptptpt-20260713152715080,https://polymarket.com/event/us-announces-end-of-iranian-blockade-byptptpt-20260713152715080,5704535028627813610807450987863678382834984459808017027367262166853701331994,69414613465543136636077418623919577190300092563607084855456415038243186412684,Yes,No,2026-09-14,,,0.01,False,,False,24904.38,200.0,17,34,0.4363,200.0,4.5,0.13,0.12,0.14,0.09,0.17,0.0338,0.75,51281.5,8402.8,4.2,published_v2,0.00297,True,0.00024,0.0487,1438,0.0,0.0,0.144,0.0,0.0,True,0.144,0.0,0.005699,0.005699,high,subjective_blockade,subjective/dispute-prone wording contains 'blockade',0,,-0.0953,52.0,book_and_history,7.3292,25
Clarity Act (H.R.3633) signed into law in 2026?,1163699,0x9cb23d04b2ded06147482076688b69b487a8d982c63ebdda2ab3678cf27cf390,clarity-act-signed-into-law-in-2026,clarity-act-signed-into-law-in-2026,https://polymarket.com/event/clarity-act-signed-into-law-in-2026,35198549486569600595408965368290795524428922595732253580266052028158040373233,29633826701713552120011280893309822625942861174174976276686142480636225243753,Yes,No,2027-01-01,,,0.01,False,politics_fees,True,207080.96,100.0,32,35,0.4246,200.0,4.5,0.235,0.23,0.24,0.2,0.27,0.0338,0.75,26380.2,36918.4,12.5,published_v2,0.00095,True,0.00047,0.0474,1439,1.0,1.2517,0.0,0.0,1.66,True,1.2517,0.005299,0.010301,0.0156,medium,other,no pre-registered low/high resolution-risk keyword class matched,0,,-1.2043,94.0,book_and_history,322.8,87
Mitch McConnell steps down from Senate before his term ends?,637910,0x15d2e66dcf1d63c5695d6d0e9e2f8e06dd246d00fd5dfc254f2b22baa33bfa1b,will-mitch-mcconnell-resign-from-the-senate-before-his-term-ends,will-mitch-mcconnell-resign-from-the-senate-before-his-term-ends,https://polymarket.com/event/will-mitch-mcconnell-resign-from-the-senate-before-his-term-ends,79397895660526576528066965797785113521241099187839967306891454236823723226031,6176387069967725418539368518279260352303182827227966329832868478861860932409,Yes,No,2027-01-03,,,0.01,False,politics_fees,True,15366.49,100.0,39,36,0.3949,200.0,3.5,0.17,0.16,0.18,0.14,0.2,0.0263,0.75,28339.6,7726.9,4.2,published_v2,0.00323,True,0.00044,0.0441,1439,0.0,0.0,1.7875,0.0,0.0,True,1.7875,0.0,0.007452,0.007452,medium,other,no pre-registered low/high resolution-risk keyword class matched,0,,-1.7434,68.0,book_and_history,311.0542,721
"US x Iran diplomatic meeting by December 31, 2026?",2510767,0x7a833b2745bc6911db3ef244e37287c9ab1be1e63ee71266d2c79326cafbe285,us-x-iran-diplomatic-meeting-by-december-31-2026,next-round-of-us-iran-peace-talks-byptptpt-20260623022722982,https://polymarket.com/event/next-round-of-us-iran-peace-talks-byptptpt-20260623022722982,75949079072300511635603600206567227738703160855900547778099294726738851616000,13289219128021782145520688032992494226150928065216041458658097032141632174656,Yes,No,2026-12-31,,,0.01,False,,False,8892.31,200.0,23,37,0.3896,20.0,4.5,0.495,0.49,0.5,0.46,0.53,0.0338,0.75,5326.1,8551.3,1.2,published_v2,0.00047,True,0.00023,0.0469,1439,0.0,0.0,1.0402,0.0,0.0,True,1.0402,0.0,0.00217,0.00217,high,subjective_meeting,subjective/dispute-prone wording contains 'meeting',0,,-0.9933,19.8,book_and_history,0.0,0
Mojtaba Khamenei seen in public by December 31?,2771185,0xfed2dd1e83691ca08b8bc08d2bed09cb19003730f2be47da6a467ee37df96fbb,mojtaba-khamenei-seen-in-public-by-december-31,mojtaba-khamenei-public-appearance-by,https://polymarket.com/event/mojtaba-khamenei-public-appearance-by,106352973084247809978722887479381361784509565887960822996102387300658431649079,78735213477140259179719985437634225008013438052010449207550476177307188383355,Yes,No,2026-12-31,,,0.01,False,,False,10956.06,100.0,43,38,0.3413,200.0,4.5,0.235,0.23,0.24,0.22,0.25,0.0112,0.25,59771.1,32847.9,112.5,published_v2,0.0068,True,0.00341,0.3413,1439,0.0,0.0,0.0,0.0,0.15,True,0.0,0.0,0.010301,0.010301,medium,other,no pre-registered low/high resolution-risk keyword class matched,0,,0.3413,94.0,book_and_history,232.8128,320
US ceasefire against Iran continues through August 25?,3700193,0x305c77ad59fa89533c15e415d8e6a57eb490215094cc9f937b963a19c5f66c44,us-x-iran-ceasefire-continues-through-august-25,us-ceasefire-against-iran-continues-throughptptpt,https://polymarket.com/event/us-ceasefire-against-iran-continues-throughptptpt,61266035338126609097678341943704872420259083406996666017235624389844409717472,67897112969075316968894704621321489997238471584231007785123040816933142711432,Yes,No,2026-08-25,,,0.01,False,,False,51448.1,200.0,14,39,0.3343,200.0,4.5,0.945,0.94,0.95,0.91,0.98,0.0338,0.75,67169.1,97871.2,12.5,published_v2,0.00037,False,0.00019,0.0372,1439,0.0,0.0,31.2558,0.0,0.0,True,31.2558,0.0,0.041425,0.041425,high,subjective_ceasefire,subjective/dispute-prone wording contains 'ceasefire',0,,-31.2186,378.0,band_ineligible,31.1861,102
"Will no qualifying diplomatic US-Iran meeting occur by September 30, 2026?",2646914,0xc4ebab9f2830f6df67ab1b98615d5a9be8eebd106fd0f37e9a25e4a4edcc427c,will-no-qualifying-diplomatic-us-iran-meeting-occur-by-september-30-2026-20260622185050763,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,https://polymarket.com/event/where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,10618696958805388450273982806566275602086720395274264354492776873006123003601,101196087194368016189458797815389873667514776317865121691440084473605225222305,Yes,No,2026-09-30,,,0.001,True,,False,14790.67,380.0,7,40,0.3313,50.0,4.5,0.7625,0.761,0.764,0.751,0.774,0.0112,0.25,34628.6,32231.6,28.1,published_v2,0.00174,True,0.00087,0.3313,1439,0.0,0.0,0.1145,0.0,0.0,True,0.1145,0.0,0.008356,0.008356,high,subjective_meeting,subjective/dispute-prone wording contains 'meeting',0,,0.2168,76.25,book_and_history,308.8144,865
US strike on Cuba by December 31?,1107582,0x3de0f3d7d7efb40cde68e814d40a0b232832083653c8e78260eb999baa967de0,us-strike-on-cuba-by-december-31,us-strike-on-cuba-by,https://polymarket.com/event/us-strike-on-cuba-by,91347242536105459969213788769929618447748782724898414007495579710952664644740,55782999195478978645683058282751482473275270795090145277907596121415418369349,Yes,No,2026-12-31,,,0.01,False,,False,14450.9,100.0,41,,,100.0,4.5,0.17,0.16,0.18,0.15,0.19,0.0112,0.25,32345.6,31080.0,56.2,published_v2,0.00361,True,0.00181,0.1807,1439,0.0,0.0,0.0,0.0,0.08,True,0.0,0.0,0.003726,0.003726,medium,other,no pre-registered low/high resolution-risk keyword class matched,0,,0.1807,34.0,book_and_history,323.0175,276
